electrode_id	probe_id	location
700	NeuropixelsImec0	right dCA1
701	NeuropixelsImec0	right dCA1
702	NeuropixelsImec0	right dCA1
703	NeuropixelsImec0	right dCA1
704	NeuropixelsImec0	right dCA1
705	NeuropixelsImec0	right dCA1
706	NeuropixelsImec0	right dCA1
707	NeuropixelsImec0	right dCA1
708	NeuropixelsImec0	right dCA1
709	NeuropixelsImec0	right dCA1
710	NeuropixelsImec0	right dCA1
711	NeuropixelsImec0	right dCA1
712	NeuropixelsImec0	right dCA1
713	NeuropixelsImec0	right dCA1
714	NeuropixelsImec0	right dCA1
715	NeuropixelsImec0	right dCA1
716	NeuropixelsImec0	right dCA1
717	NeuropixelsImec0	right dCA1
718	NeuropixelsImec0	right dCA1
719	NeuropixelsImec0	right dCA1
720	NeuropixelsImec0	right dCA1
721	NeuropixelsImec0	right dCA1
722	NeuropixelsImec0	right dCA1
723	NeuropixelsImec0	right dCA1
724	NeuropixelsImec0	right dCA1
725	NeuropixelsImec0	right dCA1
726	NeuropixelsImec0	right dCA1
727	NeuropixelsImec0	right dCA1
728	NeuropixelsImec0	right dCA1
729	NeuropixelsImec0	right dCA1
730	NeuropixelsImec0	right dCA1
731	NeuropixelsImec0	right dCA1
